koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,ra,dec,koi_kepmag,koi_kmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_eccen,koi_sma,koi_insol,koi_insol_err1,koi_insol_err2,koi_teq,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_incl,koi_dor,koi_dor_err1,koi_dor_err2,koi_model_snr,koi_max_mult_ev,koi_max_sngle_ev,koi_tce_plnt_num,koi_bin_oedp_sig,koi_ldm_coeff1,koi_ldm_coeff2,koi_ldm_coeff3,koi_ldm_coeff4,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,koi_disposition,k2_name,k2_hostname
5703.0,50.0,-50.0,0.956122,0.098585,-0.054675,0.963861,0.029568,-0.032166,4.38,0.1,-0.1,-0.06,0.08,-0.08,53.6511231,20.5990205,10.849,9.368,10.8644,,,,,,41.688644,0.003353,-0.003419,2.35545351,0.30999992,-0.16677291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONFIRMED,BD+20 594 b,BD+20 594
5766.0,99.0,-99.0,0.928,0.055,-0.04,0.961,0.032,-0.029,4.5,0.08,-0.08,-0.15,0.05,-0.05,53.6511231,20.5990205,10.849,9.368,10.8644,,,,,,41.6855,0.003,-0.0031,2.23,0.14,-0.11,0.0,0.241,,,,546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONFIRMED,BD+20 594 b,BD+20 594
5766.0,99.0,-99.0,1.08,0.06,-0.06,1.67,0.4,-0.4,4.5,0.08,-0.08,-0.15,,,53.6511231,20.5990205,10.849,9.368,10.8644,,,,,,41.6855,0.003,-0.003,2.57807,0.11209,-0.11209,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONFIRMED,BD+20 594 b,BD+20 594
4616.52,82.36,-115.56,0.762602,0.053651,-0.037585,0.73,0.084105,-0.081044,4.53679,0.075486,-0.090593,-0.03,0.034,-0.034,183.8462454,-6.2683289,11.727,9.22,11.3995,,,,,,2.30183,0.00028,-0.0003,1.12,0.11,-0.08,,,,,,1054.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201111557.01,EPIC 201111557
4720.0,50.0,-50.0,0.710995,0.018609,-0.020398,,,,4.5,0.1,-0.1,-0.06,0.08,-0.08,183.8462454,-6.2683289,11.727,9.22,11.3995,,,,,,2.302368,0.000105,-0.000103,1.31258765,0.524177,-0.12081424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201111557.01,EPIC 201111557
3919.0,,,0.57,,,,,,,,,,,,175.9385954,-5.8733592,19.21,14.23,17.8892,,,,,,1.1947488,,,4.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201126503.01,EPIC 201126503
5015.0,50.0,-50.0,0.789478,0.025322,-0.017327,,,,4.67,0.1,-0.1,0.24,0.08,-0.08,181.3718091,-5.8482738,11.733,9.43,11.4806,,,,,,6.178369,0.000195,-0.000172,9.91257877,0.52940607,-0.36218238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201127519.01,EPIC 201127519
4719.28,100.72,-112.19,0.849432,0.053904,-0.052076,0.756,0.096466,-0.080306,4.45833,0.062492,-0.110798,0.213,0.041,-0.041,181.3718091,-5.8482738,11.733,9.43,11.4806,,,,,,6.17887,7e-05,-7e-05,8.84,0.14,-0.13,,,,,,772.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201127519.01,EPIC 201127519
,,,0.309,0.057,-0.07,,,,,,,,,,173.902664,-5.364612,16.64,11.397,,,,,,,1.17589,0.0001,-0.0001,0.86,0.18,-0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201147085.01,EPIC 201147085
,,,0.588,0.041,-0.015,,,,,,,,,,173.0432884,-5.2471672,14.346,11.43,13.9562,,,,,,10.6966,0.002,-0.0021,1.45,0.18,-0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201152065.01,EPIC 201152065
